date,country,amount_storage,consumption,amount_storage_perc,trend,injection,withdrawal,technical_capacity,injection_capacity,withdrawal_capacity
2011-01-30,Німеччина,38.2786,809.0,51.04,-0.65,0.0,483.9,74.9935,1090.84,1890.54
2011-01-30,Польща,5.107,165.0,65.87,-1.42,0.0,110.3,7.753,134.24,319.32
2011-01-30,Португалія,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-30,Румунія,,129.0,,,,,,,
2011-01-30,Словаччина,17.2669,54.0,57.94,-0.7,0.0,208.4,29.8013,290.06,353.69
2011-01-30,Угорщина,42.3995,109.0,63.16,-0.6,0.0,403.3,67.1254,473.13,832.72
2011-01-30,Франція,13.9213,430.0,43.33,-0.54,0.12,173.7,32.1287,255.64,511.27
2011-01-30,Хорватія,,30.0,,,,,,,
2011-01-30,Чеська Республіка,12.9724,79.0,51.58,-0.63,0.0,157.8,25.1492,312.58,427.68
2011-01-30,Швеція,,12.0,,,,,,,
2011-01-31,Австрія,18.7838,90.0,46.29,-0.61,3.55,252.6,40.5749,397.47,494.15
2011-01-31,Бельгія,4.0357,165.0,49.08,-1.5,0.0,123.0,8.2227,83.3,170.86
2011-01-31,Болгарія,3.7646,31.0,60.04,-0.6,0.0,37.9,6.27,47.88,39.9
2011-01-31,Великобританія,,819.0,,,,,,,
2011-01-31,Данія,7.9326,43.0,63.83,-0.39,23.86,72.3,12.4273,94.16,207.3
