date,hub_name,price_with_vat,price_without_vat
2017-05-11,NCG,7134.51,5945.42
2017-05-11,CEGH,7637.29,6364.41
2017-05-12,TTF,7095.61,5913.01
2017-05-12,Gaspool,7066.76,5888.97
2017-05-12,NCG,7247.07,6039.22
2017-05-12,CEGH,7470.64,6225.53
2017-05-15,TTF,7081.51,5901.26
2017-05-15,Gaspool,7070.65,5892.21
2017-05-15,NCG,7262.39,6051.99
2017-05-15,CEGH,7584.35,6320.29
2017-05-16,TTF,7172.72,5977.27
2017-05-16,Gaspool,7212.86,6010.72
2017-05-16,NCG,7249.35,6041.12
2017-05-16,CEGH,7661.72,6384.77
2017-05-17,TTF,7190.22,5991.85
2017-05-17,Gaspool,7237.97,6031.64
2017-05-17,NCG,7329.79,6108.16
2017-05-17,CEGH,7601.58,6334.65
2017-05-18,TTF,7258.39,6048.66
2017-05-18,Gaspool,7321.12,6100.93
2017-05-18,NCG,7387.54,6156.28
2017-05-18,CEGH,7778.66,6482.22
2017-05-19,TTF,7148.49,5957.07
2017-05-19,Gaspool,7362.53,6135.44
2017-05-19,NCG,7340.39,6116.99
2017-05-19,CEGH,7798.01,6498.34
2017-05-22,TTF,7153.84,5961.53
2017-05-22,Gaspool,7376.06,6146.72
2017-05-22,NCG,7246.43,6038.69
2017-05-22,CEGH,7842.73,6535.61
2017-05-23,TTF,7296.6,6080.5
2017-05-23,Gaspool,7315.21,6096.01
2017-05-23,NCG,7371.02,6142.52
2017-05-23,CEGH,7869.63,6558.02
2017-05-24,TTF,7139.35,5949.46
2017-05-24,Gaspool,7361.73,6134.77
2017-05-24,NCG,7306.14,6088.45
2017-05-24,CEGH,7850.98,6542.48
2017-05-25,TTF,7041.84,5868.2
2017-05-25,Gaspool,7226.53,6022.11
2017-05-25,NCG,7245.0,6037.5
2017-05-25,CEGH,7887.71,6573.09
2017-05-26,TTF,7094.17,5911.81
2017-05-26,Gaspool,7242.26,6035.22
2017-05-26,NCG,7253.36,6044.47
2017-05-26,CEGH,7875.33,6562.77
2017-05-29,TTF,7190.87,5992.39
2017-05-29,NCG,7424.35,6186.96
2017-05-30,TTF,7286.61,6072.17
2017-05-30,Gaspool,7383.05,6152.54
2017-05-30,NCG,7442.4,6202.0
2017-05-30,CEGH,7824.45,6520.37
2017-05-31,TTF,7164.13,5970.11
2017-05-31,Gaspool,7386.09,6155.07
2017-05-31,NCG,7338.0,6115.0
2017-05-31,CEGH,7933.6,6611.33
2017-06-01,TTF,7096.32,5913.6
2017-06-01,Gaspool,7292.91,6077.42
2017-06-01,NCG,7218.72,6015.6
2017-06-01,CEGH,7834.46,6528.72
2017-06-02,TTF,6928.98,5774.15
2017-06-02,Gaspool,7188.19,5990.16
2017-06-02,NCG,7114.13,5928.44
